dep;codecommune;nomcommune;nomdep;PO0_electeurs1992;PO0_electeurs2002;PO0_electeurs2012;PO0_electeurs2022;DBL_bug
01;01001;ABERGEMENT-CLEMENCIAT;AIN;412.16415;537.25146;570.22729;580.99646;0
01;01002;ABERGEMENT-DE-VAREY;AIN;132.52211;134.46487;171.71716;170.02176;0
01;01004;AMBERIEU-EN-BUGEY;AIN;7519.0083;8589.9189;9929.3291;9887.9053;0
01;01005;AMBERIEUX-EN-DOMBES;AIN;822.3363;951.70001;1241.2223;1531.4249;0
01;01006;AMBLEON;AIN;64.086487;79.183998;82.03302;93.175949;0
01;01007;AMBRONAY;AIN;1409.4604;1633.6211;1810.1757;2061.1306;0
01;01008;AMBUTRIX;AIN;429.22754;456.14661;553.87494;587.74927;0
01;01009;ANDERT-ET-CONDON;AIN;221.77168;225.2749;237.73213;304.27814;0
01;01010;ANGLEFORT;AIN;523.73224;605.52991;723.47418;740.87079;0
01;01011;APREMONT;AIN;239.45537;248.05298;269.49899;245.06129;0
01;01012;ARANC;AIN;230.80873;222.85286;227.96762;218.32912;0
01;01013;ARANDAS;AIN;101.49191;113.85546;125.56258;86.785713;0
01;01014;ARBENT;AIN;1629.3381;2039.2642;2230.4661;2340.9714;0
01;01015;ARBIGNIEU;AIN;414.65808;435.56168;486.57761;530.59186;0
01;01016;ARBIGNY;AIN;235.7175;244.31978;309.12701;269.53268;0
01;01017;ARGIS;AIN;291.05588;303.27045;321.048;343.55576;0
01;01021;ARS-SUR-FORMANS;AIN;616.9024;824.63416;1016.9153;1250.1664;0
01;01022;ARTEMARE;AIN;678.89496;775.07031;904.13678;1000.028;0
01;01023;ASNIERES-SUR-SAONE;AIN;61.91045;49.927998;51.180725;80.070587;0
01;01024;ATTIGNAT;AIN;1318.1887;1589.1743;2228.2102;2454.7585;0
01;01025;BAGE-LA-VILLE;AIN;1726.4758;2147.0808;2828.8213;2835.0591;0
01;01026;BAGE-LE-CHATEL;AIN;538.1792;587.09375;659.76196;700.52502;0
01;01027;BALAN;AIN;1178.5845;1463.4684;2294.0596;1803.3135;0
01;01028;BANEINS;AIN;298.0101;373.25336;397.6084;535.05328;0
01;01029;BEAUPONT;AIN;350.9971;417.2811;495.20709;564.68982;0
01;01030;BEAUREGARD;AIN;523.99274;584.86597;582.61078;549.61469;0
01;01031;BELLIGNAT;AIN;1881.7325;2371.6355;2336.1052;2353.1333;0
01;01032;BELIGNEUX;AIN;1502.8893;1808.7487;2149.854;2481.312;0
01;01033;BELLEGARDE-SUR-VALSERINE;AIN;8788.9287;9483.1484;10224.224;10540.983;0
01;01034;BELLEY;AIN;5185.1553;5765.8501;6367.2466;6656.6372;0
01;01035;BELLEYDOUX;AIN;183.38878;214.28784;253.8811;248.58459;0
01;01036;BELMONT-LUTHEZIEU;AIN;726.61609;844.48291;912.51776;1205.8458;0
01;01037;BENONCES;AIN;216.6353;198.96745;202.5397;257.30203;0
01;01038;BENY;AIN;421.93088;488.53946;513.44214;639.72955;0
01;01039;BEON;AIN;257.08371;287.4765;309.45599;237.75267;0
01;01040;BEREZIAT;AIN;245.6375;263.72708;307.22797;318.85663;0
01;01041;BETTANT;AIN;516.74292;520.72882;566.08636;666.45685;0
01;01042;BEY;AIN;139.29227;164.87369;197.53233;266.55252;0
01;01043;BEYNOST;AIN;2370.0417;2773.446;3302.1121;3695.0981;0
01;01044;BILLIAT;AIN;278.69205;312.3772;384.72659;485.41013;0
01;01045;BIRIEUX;AIN;94.46769;126.13764;178.20793;172.46849;0
01;01046;BIZIAT;AIN;386.66162;480.27643;591.5036;652.26233;0
01;01047;BLYES;AIN;356.97476;561.51166;641.125;902.74396;0
01;01049;BOISSE;AIN;1691.1803;1894.7433;2101.0415;2643.8508;0
01;01050;BOISSEY;AIN;173.22009;164.33221;216.86531;223.19252;0
01;01051;BOLOZON;AIN;83.526802;82.248344;79.85437;79.050003;0
01;01052;BOULIGNEUX;AIN;205.06706;229.08868;230.21915;254.31389;0
01;01053;BOURG-EN-BRESSE;AIN;28379.555;29919.523;29895.555;28264.678;0
01;01054;BOURG-SAINT-CHRISTOPHE;AIN;584.22278;636.52246;852.26337;1206.3588;0
01;01056;BOYEUX-SAINT-JEROME;AIN;190.64761;233.59363;266.29141;256.40515;0
01;01057;BOZ;AIN;299.45782;292.13525;314.53317;364.80988;0
01;01058;BREGNIER-CORDON;AIN;386.94757;473.64648;622.68933;623.43451;0
01;01060;BRENOD;AIN;300.09222;352.91669;405.30023;367.67346;0
01;01061;BRENS;AIN;458.30789;561.14331;831.0545;878.64056;0
01;01062;BRESSOLLES;AIN;356.37186;428.18646;573.18463;772.64099;0
01;01063;BRION;AIN;374.55328;394.57843;368.20563;396.87402;0
01;01064;BRIORD;AIN;437.63766;547.96545;652.32343;886.71942;0
01;01065;BUELLAS;AIN;846.64136;1042.0803;1255.8868;1411.4585;0
01;01066;BURBANCHE;AIN;48.013794;55.286472;61.848148;87.02034;0
01;01067;CEIGNES;AIN;130.72897;162.28552;187.76979;203.9882;0
01;01068;CERDON;AIN;488.23129;513.59558;518.89038;630.74115;0
01;01069;CERTINES;AIN;683.05127;938.8949;1054.0719;1215.6017;0
01;01071;CESSY;AIN;1124.1932;1549.5682;2448.4968;2855.5869;0
01;01072;CEYZERIAT;AIN;1589.231;1890.5486;2150.0674;2511.6157;0
01;01073;CEYZERIEU;AIN;623.68463;677.11566;745.24829;755.41089;0
01;01074;CHALAMONT;AIN;1166.8955;1378.4119;1691.2194;1853.8046;0
01;01075;CHALEINS;AIN;526.40924;751.90485;837.8717;981.90259;0
01;01076;CHALEY;AIN;90.635292;100.95801;101.90331;90.131172;0
01;01077;CHALLES-LA-MONTAGNE;AIN;151.03719;159.0891;131.91455;140.99272;0
01;01078;CHALLEX;AIN;603.33545;628.33014;718.89697;924.95978;0
01;01079;CHAMPAGNE-EN-VALROMEY;AIN;540.83148;532.51276;612.15277;628.44037;0
01;01080;CHAMPDOR;AIN;464.7767;448.73309;475.72543;492.86832;0
01;01081;CHAMPFROMIER;AIN;297.4559;403.26779;516.73029;567.80829;0
01;01082;CHANAY;AIN;320.81781;417.92212;425.25183;466.09814;0
01;01083;CHANEINS;AIN;329.22433;454.05865;581.7561;647.54407;0
01;01084;CHANOZ-CHATENAY;AIN;330.25729;418.73621;523.62726;714.99677;0
01;01085;CHAPELLE-DU-CHATELARD;AIN;177.60008;215.95775;272.29971;277.48969;0
01;01087;CHARIX;AIN;165.73535;201.6178;206.63512;203.43044;0
01;01088;CHARNOZ-SUR-AIN;AIN;333.44208;506.21646;700.9364;703.94366;0
01;01089;CHATEAU-GAILLARD;AIN;746.21332;1018.0695;1315.2402;1790.5278;0
01;01090;CHATENAY;AIN;193.82445;244.31897;270.06726;328.04224;0
01;01092;CHATILLON-LA-PALUD;AIN;689.75128;891.00049;1094.7825;1419.6422;0
01;01093;CHATILLON-SUR-CHALARONNE;AIN;2745.2236;3262.438;3837.2695;4005.7378;0
01;01094;CHAVANNES-SUR-REYSSOUZE;AIN;442.49808;461.4577;524.37061;710.08655;0
01;01095;CHAVANNES-SUR-SURAN;AIN;354.58783;489.55518;545.81653;591.76868;0
01;01096;CHAVEYRIAT;AIN;549.99811;621.5354;715.55438;860.04297;0
01;01098;CHAZEY-BONS;AIN;560.46106;556.98444;703.58319;823.38123;0
01;01099;CHAZEY-SUR-AIN;AIN;703.58435;862.45184;1097.8563;1227.7892;0
01;01100;CHEIGNIEU-LA-BALME;AIN;82.76635;98.526642;132.53419;89.801666;0
01;01101;CHEVILLARD;AIN;94.868294;121.24186;129.9955;127.96783;0
01;01102;CHEVROUX;AIN;382.39987;518.43372;653.29095;690.80768;0
01;01103;CHEVRY;AIN;484.58698;540.68311;723.54803;1448.953;0
