dep;nomdep;codecommune;nomcommune;PRO_ppropri22;PRO_nlogement22;PRO_ppropri12;PRO_nlogement12;PRO_ppropri02;PRO_nlogement02;PRO_ppropri92;PRO_nlogement92;DBL_bug
01;AIN;01001;ABERGEMENT-CLEMENCIAT;0.82535887;418.0;0.81976742;344.0;0.80669147;269.0;0.76811594;207.0;0
01;AIN;01002;ABERGEMENT-DE-VAREY;0.80952382;126.0;0.80000001;100.0;0.85333335;75.0;0.89705884;68.0;0
01;AIN;01004;AMBERIEU-EN-BUGEY;0.41614649;7209.0;0.41316479;6092.0;0.41829145;4975.0;0.42164898;4148.0;0
01;AIN;01005;AMBERIEUX-EN-DOMBES;0.7682119;604.0;0.7641682;547.0;0.74285716;490.0;0.72193879;392.0;0
01;AIN;01006;AMBLEON;0.66233766;77.0;0.6557377;61.0;0.67391306;46.0;0.62857145;35.0;0
01;AIN;01007;AMBRONAY;0.7723949;1094.0;0.76683939;965.0;0.76583034;837.0;0.7827338;695.0;0
01;AIN;01008;AMBUTRIX;0.720339;354.0;0.71525425;295.0;0.72151899;237.0;0.72500002;200.0;0
01;AIN;01009;ANDERT-ET-CONDON;0.8186813;182.0;0.81045753;153.0;0.83999997;125.0;0.85576922;104.0;0
01;AIN;01010;ANGLEFORT;0.73854959;524.0;0.73364484;428.0;0.73273271;333.0;0.71481484;270.0;0
01;AIN;01011;APREMONT;0.85714287;147.0;0.84558821;136.0;0.76612902;124.0;0.69026548;113.0;0
01;AIN;01012;ARANC;0.85185188;162.0;0.84615386;143.0;0.78399998;125.0;0.76923078;117.0;0
01;AIN;01013;ARANDAS;0.93333334;75.0;0.92647058;68.0;0.88524592;61.0;0.85714287;56.0;0
01;AIN;01014;ARBENT;0.60978925;1471.0;0.60587794;1327.0;0.58544838;1182.0;0.53110045;1045.0;0
01;AIN;01015;ARBIGNIEU;0.83561641;219.0;0.83168316;202.0;0.80540538;185.0;0.79245281;159.0;0
01;AIN;01016;ARBIGNY;0.86792451;159.0;0.86486489;148.0;0.84558821;136.0;0.84677422;124.0;0
01;AIN;01017;ARGIS;0.76078433;255.0;0.75813955;215.0;0.74285716;175.0;0.69142854;175.0;0
01;AIN;01021;ARS-SUR-FORMANS;0.74137932;580.0;0.7360515;466.0;0.74643874;351.0;0.73626375;273.0;0
01;AIN;01022;ARTEMARE;0.5906902;623.0;0.58768654;536.0;0.6013363;449.0;0.6111111;396.0;0
01;AIN;01023;ASNIERES-SUR-SAONE;0.86363637;44.0;0.86486489;37.0;0.76666665;30.0;0.56666666;30.0;0
01;AIN;01024;ATTIGNAT;0.76067799;1475.0;0.75567192;1146.0;0.7432763;818.0;0.73824453;638.0;0
01;AIN;01025;BAGE-LA-VILLE;0.83816797;1310.0;0.83256668;1087.0;0.80671299;864.0;0.78645068;679.0;0
01;AIN;01026;BAGE-LE-CHATEL;0.61757106;387.0;0.6122449;343.0;0.60067111;298.0;0.60000002;265.0;0
01;AIN;01027;BALAN;0.7537415;735.0;0.74879998;625.0;0.74563104;515.0;0.73193473;429.0;0
01;AIN;01028;BANEINS;0.83070868;254.0;0.82352942;221.0;0.82446808;188.0;0.79285717;140.0;0
01;AIN;01029;BEAUPONT;0.80000001;265.0;0.79487181;234.0;0.77227724;202.0;0.77325583;172.0;0
01;AIN;01030;BEAUREGARD;0.4799107;448.0;0.47545218;387.0;0.45846155;325.0;0.45214522;303.0;0
01;AIN;01031;BELLIGNAT;0.34140968;1816.0;0.33911484;1672.0;0.3254748;1527.0;0.3866995;1218.0;0
01;AIN;01032;BELIGNEUX;0.55547601;1397.0;0.55124891;1161.0;0.56155509;926.0;0.59523809;756.0;0
01;AIN;01033;BELLEGARDE-SUR-VALSERINE;0.38549292;5873.0;0.38282579;5287.0;0.38494259;4702.0;0.37213078;4313.0;0
01;AIN;01034;BELLEY;0.42273042;4329.0;0.41979167;3840.0;0.4054296;3352.0;0.37029833;3084.0;0
01;AIN;01035;BELLEYDOUX;0.7483871;155.0;0.74100721;139.0;0.75;124.0;0.80000001;100.0;0
01;AIN;01036;BELMONT-LUTHEZIEU;0.73448277;290.0;0.72995782;237.0;0.72282606;184.0;0.77397263;146.0;0
01;AIN;01037;BENONCES;0.77622378;143.0;0.76984125;126.0;0.72477067;109.0;0.7735849;106.0;0
01;AIN;01038;BENY;0.87826085;345.0;0.87290972;299.0;0.85826772;254.0;0.81696427;224.0;0
01;AIN;01039;BEON;0.81862748;204.0;0.81034482;174.0;0.79166669;144.0;0.83333331;132.0;0
01;AIN;01040;BEREZIAT;0.87898088;157.0;0.87671232;146.0;0.82835823;134.0;0.73728812;118.0;0
01;AIN;01041;BETTANT;0.79005527;362.0;0.78328174;323.0;0.7614035;285.0;0.74358976;273.0;0
01;AIN;01042;BEY;0.90476191;105.0;0.90526319;95.0;0.83529413;85.0;0.82191783;73.0;0
01;AIN;01043;BEYNOST;0.81230634;2259.0;0.80645162;1829.0;0.80343103;1399.0;0.80496454;1128.0;0
01;AIN;01044;BILLIAT;0.7409091;220.0;0.73711342;194.0;0.70414203;169.0;0.75;140.0;0
01;AIN;01045;BIRIEUX;0.76923078;130.0;0.76041669;96.0;0.67213112;61.0;0.5714286;42.0;0
01;AIN;01046;BIZIAT;0.77567565;370.0;0.7717042;311.0;0.74703556;253.0;0.7028302;212.0;0
01;AIN;01047;BLYES;0.84295613;433.0;0.83815026;346.0;0.8108108;259.0;0.72959185;196.0;0
01;AIN;01049;BOISSE;0.78713262;1259.0;0.78119349;1106.0;0.78174186;953.0;0.77696967;825.0;0
01;AIN;01050;BOISSEY;0.82474226;97.0;0.82222223;90.0;0.79518074;83.0;0.70512819;78.0;0
01;AIN;01051;BOLOZON;0.82539684;63.0;0.81132078;53.0;0.76744187;43.0;0.69047618;42.0;0
01;AIN;01052;BOULIGNEUX;0.79230767;130.0;0.78991598;119.0;0.72897196;107.0;0.68817204;93.0;0
01;AIN;01053;BOURG-EN-BRESSE;0.35375276;21744.0;0.35126317;20227.0;0.33703902;18710.0;0.3331753;16874.0;0
01;AIN;01054;BOURG-SAINT-CHRISTOPHE;0.83595115;573.0;0.83111113;450.0;0.83486241;327.0;0.80076629;261.0;0
01;AIN;01056;BOYEUX-SAINT-JEROME;0.85714287;182.0;0.85161293;155.0;0.8203125;128.0;0.86868685;99.0;0
01;AIN;01057;BOZ;0.80000001;260.0;0.79611653;206.0;0.7682119;151.0;0.70634919;126.0;0
01;AIN;01058;BREGNIER-CORDON;0.72527474;364.0;0.71986973;307.0;0.69999999;250.0;0.65898615;217.0;0
01;AIN;01060;BRENOD;0.75636363;275.0;0.74786323;234.0;0.69791669;192.0;0.62195122;164.0;0
01;AIN;01061;BRENS;0.938326;454.0;0.93206519;368.0;0.90106004;283.0;0.83700442;227.0;0
01;AIN;01062;BRESSOLLES;0.8567335;349.0;0.84775084;289.0;0.86899561;229.0;0.84831458;178.0;0
01;AIN;01063;BRION;0.83870965;217.0;0.83574879;207.0;0.79187816;197.0;0.74193549;186.0;0
01;AIN;01064;BRIORD;0.63723606;521.0;0.63235295;408.0;0.60677963;295.0;0.58024693;243.0;0
01;AIN;01065;BUELLAS;0.82426304;882.0;0.81869686;706.0;0.80414313;531.0;0.77941179;408.0;0
01;AIN;01066;BURBANCHE;0.79545456;44.0;0.77499998;40.0;0.74285716;35.0;0.625;32.0;0
01;AIN;01067;CEIGNES;0.73109245;119.0;0.7264151;106.0;0.7096774;93.0;0.73239434;71.0;0
01;AIN;01068;CERDON;0.72131145;366.0;0.71692306;325.0;0.69611305;283.0;0.6782946;258.0;0
01;AIN;01069;CERTINES;0.70877659;752.0;0.70436186;619.0;0.70987654;486.0;0.77777779;342.0;0
01;AIN;01071;CESSY;0.70154458;2007.0;0.69686878;1501.0;0.687751;996.0;0.73211569;657.0;0
01;AIN;01072;CEYZERIAT;0.68547779;1329.0;0.68122274;1145.0;0.66979164;960.0;0.66277564;771.0;0
01;AIN;01073;CEYZERIEU;0.88344991;429.0;0.87786257;393.0;0.84357542;358.0;0.79936308;314.0;0
01;AIN;01074;CHALAMONT;0.5507881;1142.0;0.54721028;932.0;0.52908587;722.0;0.51965815;585.0;0
01;AIN;01075;CHALEINS;0.73473281;524.0;0.72930646;447.0;0.72432435;370.0;0.76779026;267.0;0
01;AIN;01076;CHALEY;0.75609756;82.0;0.74647886;71.0;0.71186441;59.0;0.61403507;57.0;0
01;AIN;01077;CHALLES-LA-MONTAGNE;0.75675678;74.0;0.75;80.0;0.71764708;85.0;0.8051948;77.0;0
01;AIN;01078;CHALLEX;0.74666667;450.0;0.74238878;427.0;0.71782178;404.0;0.68435752;358.0;0
01;AIN;01079;CHAMPAGNE-EN-VALROMEY;0.66071427;280.0;0.65789473;266.0;0.65737051;251.0;0.64912283;228.0;0
01;AIN;01080;CHAMPDOR;0.66666669;222.0;0.66321242;193.0;0.61818182;165.0;0.64516127;155.0;0
01;AIN;01081;CHAMPFROMIER;0.61269844;315.0;0.60727274;275.0;0.59148937;235.0;0.58100557;179.0;0
01;AIN;01082;CHANAY;0.6388889;288.0;0.63636363;242.0;0.62436551;197.0;0.61271673;173.0;0
01;AIN;01083;CHANEINS;0.8510204;490.0;0.84487534;361.0;0.82832617;233.0;0.73563218;174.0;0
01;AIN;01084;CHANOZ-CHATENAY;0.83081573;331.0;0.82462686;268.0;0.79512197;205.0;0.74853802;171.0;0
01;AIN;01085;CHAPELLE-DU-CHATELARD;0.76351351;148.0;0.75590551;127.0;0.75238097;105.0;0.75555557;90.0;0
01;AIN;01087;CHARIX;0.80575538;139.0;0.80487806;123.0;0.75;108.0;0.73958331;96.0;0
