codecommune;dep;nomcommune;nomdep;REV_revmoyfoy1992;REV_revmoyfoy2002;REV_revmoyfoy2012;REV_revmoyfoy2022;DBL_bug
01001;01;ABERGEMENT-CLEMENCIAT;AIN;26621.76809299134;30933.922;37187.387;35802.426;0
01002;01;ABERGEMENT-DE-VAREY;AIN;24803.38677296108;24228.104;34935.73;36150.969;0
01004;01;AMBERIEU-EN-BUGEY;AIN;25902.20145184677;27679.195;28618.705;29982.137;0
01005;01;AMBERIEUX-EN-DOMBES;AIN;26788.16003007975;31343.514;35700.004;37242.09;0
01006;01;AMBLEON;AIN;20968.20959659892;24009.932;34727.117;31769.916;0
01007;01;AMBRONAY;AIN;27875.67261512547;29601.484;32194.67;33358.605;0
01008;01;AMBUTRIX;AIN;28338.4305684619;31009.322;35854.223;36820.941;0
01009;01;ANDERT-CONDON;AIN;33311.0379109963;40400.523;40771.824;39320.066;0
01010;01;ANGLEFORT;AIN;24183.65529406955;24521.695;31353.668;32452.883;0
01011;01;APREMONT;AIN;29578.20747329606;33562.719;34061.699;35624.363;0
01012;01;ARANC;AIN;20012.24082596837;26201.969;28201.324;27907.008;0
01013;01;ARANDAS;AIN;15168.03782733804;18094.658;24276.646;23287.076;0
01014;01;ARBENT;AIN;35847.73008396669;35098.211;34662.098;35220.965;0
01015;01;ARBIGNIEU;AIN;24799.61940834776;27077.371;32251.836;35517.02;0
01016;01;ARBIGNY;AIN;20210.65536227002;23266.043;30700.283;32276.734;0
01017;01;ARGIS;AIN;20574.83394155785;20217.418;24466.324;25281.291;0
01021;01;ARS-SUR-FORMANS;AIN;29901.88688299068;31144.988;35828.066;38059.023;0
01022;01;ARTEMARE;AIN;25516.98842013456;24638.268;25990.414;28343.715;0
01023;01;ASNIERES-SUR-SAONE;AIN;27460.00671945557;18283.494;28301.662;32327.113;0
01024;01;ATTIGNAT;AIN;26658.49989797123;31321.83;33854.969;34597.004;0
01025;01;BAGE-LA-VILLE;AIN;25504.43053809015;28886.053;34763.664;35953.363;0
01026;01;BAGE-LE-CHATEL;AIN;24185.53897637622;25361.719;27079.988;27931.455;0
01027;01;BALAN;AIN;30043.16305599026;33835.516;39622.738;38997.613;0
01028;01;BANEINS;AIN;27845.84764527;33109.336;34750.512;34630.957;0
01029;01;BEAUPONT;AIN;20488.81244955365;19780.83;22961.396;26198.729;0
01030;01;BEAUREGARD;AIN;30145.8237417033;28187.592;31252.162;35335.469;0
01031;01;BELLIGNAT;AIN;31769.55789004523;30727.385;28433.889;27526.451;0
01032;01;BELIGNEUX;AIN;27016.71348328797;28687.305;30232.893;31330.82;0
01033;01;BELLEGARDE/VALS.;AIN;22209.87018373975;24807.146;29603.17;33726.508;0
01034;01;BELLEY;AIN;25018.75445002268;25995.27;27823.201;27519.85;0
01035;01;BELLEYDOUX;AIN;18009.57258693643;23442.813;28890.756;37107.098;0
01036;01;BELMONT-LUTHEZIEU;AIN;22763.04488779591;28279.484;30765.611;33874.68;0
01037;01;BENONCES;AIN;20249.27084955657;25995.064;30003.334;26137.346;0
01038;01;BENY;AIN;23218.2681119057;28016.434;35422.801;34480.98;0
01039;01;BEON;AIN;25235.37791528871;26701.658;32560.223;29460.652;0
01040;01;BEREYZIAT;AIN;18549.87546189708;22365.844;27713.791;29361.688;0
01041;01;BETTANT;AIN;23394.07846052741;27161.371;33998.332;30904.33;0
01042;01;BEY;AIN;31860.28858781608;38172.355;39271.055;37262.688;0
01043;01;BEYNOST;AIN;35823.2422139801;39160.328;44691.078;47700.75;0
01044;01;BILLIAT;AIN;21339.92290511339;30649.254;39187.066;40300.055;0
01045;01;BIRIEUX;AIN;28666.81918392316;30963.951;39698.434;40481.938;0
01046;01;BIZIAT;AIN;22207.04466027976;31250.799;31328.545;32839.996;0
01047;01;BLYES;AIN;32410.63776841226;33465.523;40522.652;40601.09;0
01049;01;BOISSE;AIN;33246.99271256982;34965.938;39612.281;39704.707;0
01050;01;BOISSEY;AIN;16405.61710281443;19205.328;26212.066;29806.787;0
01051;01;BOLOZON;AIN;16367.94345668121;18448.52;25539.721;29011.932;0
01052;01;BOULIGNEUX;AIN;30949.2142454943;33068.395;45051.789;40823.609;0
01053;01;BOURG-EN-BRESSE;AIN;25111.99672420241;25363.029;26623.32;26073.496;0
01054;01;BOURG-ST-CHRISTOPHE;AIN;26748.60270163986;31223.279;41756.973;45372.836;0
01056;01;BOYEUX-ST-JEROME;AIN;17644.45216649527;23138.965;28113.729;29206.824;0
01057;01;BOZ;AIN;18520.67838614383;22110.928;28890.461;29662.887;0
01058;01;BREGNIER-CORDON;AIN;20506.39348441582;22744.525;27826.389;30394.705;0
01060;01;BRENOD;AIN;24106.73826654756;27165.465;32923.766;32428.486;0
01061;01;BRENS;AIN;30079.26696686794;33585.848;36747.16;38859.887;0
01062;01;BRESSOLLES;AIN;28903.22131340914;38083.09;44860.172;43106.75;0
01063;01;BRION;AIN;33603.63656263101;34554.199;41085.801;40438.547;0
01064;01;BRIORD;AIN;22756.13805267149;21559.764;26013.352;28788.453;0
01065;01;BUELLAS;AIN;36125.88717125033;38892.77;41919.059;43835.926;0
01066;01;BURBANCHE;AIN;26017.1060725531;16764.389;24628.738;23294.895;0
01067;01;CEIGNES;AIN;26437.79512104077;26936.412;33240.324;31005.934;0
01068;01;CERDON;AIN;20881.87415754362;23222.707;26064.969;27824.293;0
01069;01;CERTINES;AIN;29524.83647460733;31917.074;38247.203;37440.316;0
01071;01;CESSY;AIN;25204.2971572288;49135.16;64382.598;64556.789;0
01072;01;CEYZERIAT;AIN;29984.14101038155;31732.057;34875.055;37220.48;0
01073;01;CEYZERIEU;AIN;22395.41289094587;25940.738;32448.475;33264.191;0
01074;01;CHALAMONT;AIN;26049.44261881745;25353.953;31084.861;30344.219;0
01075;01;CHALEINS;AIN;28239.22330031107;30797.598;38070.582;36251.492;0
01076;01;CHALEY;AIN;18416.44796517524;25817.303;23582.221;25238.588;0
01077;01;CHALLES-LA-MONTAGNE;AIN;19307.42969622598;21525.854;24957.24;30393.033;0
01078;01;CHALLEX;AIN;15114.03893454708;46979.375;61716.477;64311.625;0
01079;01;CHAMPAGNE-EN-VALROMEY;AIN;20704.49407366636;20711.41;23804.563;26492.896;0
01080;01;CHAMPDOR;AIN;34988.77095212919;27411.307;31486.094;32410.51;0
01081;01;CHAMPFROMIER;AIN;40990.49672820282;30596.803;35231.273;67973.602;0
01082;01;CHANAY;AIN;23819.16276773062;27683.063;32609.072;34756.609;0
01083;01;CHANEINS;AIN;24700.72608724805;29110.793;34886.59;37919.293;0
01084;01;CHANOZ-CHATENAY;AIN;21393.92179790435;27262.563;33105.566;33754.785;0
01085;01;CHAPELLE-DU-CHATELARD;AIN;22602.93189172972;29678.066;37778.016;37093.402;0
01087;01;CHARIX;AIN;28899.76789584693;27321.395;31738.365;35422.984;0
01088;01;CHARNOZ-SUR-AIN;AIN;30861.30907118344;39342.566;44914.77;46668.953;0
01089;01;CHATEAU-GAILLARD;AIN;26057.29129509521;29603.045;33426.004;34044.355;0
01090;01;CHATENAY;AIN;26575.30392942703;30977.232;36957.145;36450.367;0
01092;01;CHATILLON-LA-PALUD;AIN;27834.85949848114;29607.049;35041.453;38148.223;0
01093;01;CHATILLON-/-CHALARONNE;AIN;25627.49778212535;30417.951;28757.418;30334.813;0
01094;01;CHAVANNES-SUR-REYSSOUZE;AIN;20025.74054916611;23423.793;28791.996;30901.004;0
01095;01;CHAVANNES-SUR-SURAN;AIN;22330.42585136606;25570.621;28874.973;28608.307;0
01096;01;CHAVEYRIAT.;AIN;22527.89854651438;27390.143;32007.438;32414.273;0
01098;01;CHAZEY-BONS;AIN;25294.71390794854;28718.305;30864.52;30893.92;0
01099;01;CHAZEY-SUR-AIN;AIN;27642.09600909948;30744.348;36302.48;37077.324;0
01100;01;CHEIGNIEU-LA-BALME;AIN;17534.5706986067;24737.471;28163.727;27221.805;0
01101;01;CHEVILLARD;AIN;20078.79760080373;24516.172;34577.977;35464.27;0
01102;01;CHEVROUX;AIN;20284.1189722298;23670.984;30464.65;33047.352;0
01103;01;CHEVRY;AIN;20151.94726371241;45050.742;62798.492;64390.176;0
01104;01;CHEZERY-FORENS;AIN;17546.50068654889;25030.65;38443.945;36538.156;0
01105;01;CIVRIEUX;AIN;35913.97291175093;37919.492;47104.926;44421.949;0
01106;01;CIZE;AIN;22301.85666971503;24358.84;26053.867;26685.631;0
01107;01;CLEYZIEU;AIN;;23550.352;30503.605;28777.258;0
01108;01;COLIGNY;AIN;22205.16097797309;22906.482;28105.104;28851.703;0
01109;01;COLLONGES;AIN;17254.2159819653;33213.641;48651.465;48914.113;0
