dep;nomdep;codecommune;nomcommune;RSA_nrsa2017;RSA_nrsa2021;RSA_prsa2017;RSA_prsa2021;DBL_bug
1;AIN;01001;ABERGEMENT-CLÉMENCIAT;18.0;6.0;0.023195876;0.0076530613;0
1;AIN;01002;ABERGEMENT-DE-VAREY;0.0;0.0;0.0;0.0;0
1;AIN;01004;AMBÉRIEU-EN-BUGEY;749.0;875.0;0.053366583;0.06171098;0
1;AIN;01005;AMBÉRIEUX-EN-DOMBES;5.0;12.0;0.0029603315;0.0066629648;0
1;AIN;01006;AMBLÉON;0.0;0.0;0.0;0.0;0
1;AIN;01007;AMBRONAY;74.0;68.0;0.027146002;0.02351314;0
1;AIN;01008;AMBUTRIX;0.0;6.0;0.0;0.0077922079;0
1;AIN;01009;ANDERT-ET-CONDON;0.0;0.0;0.0;0.0;0
1;AIN;01010;ANGLEFORT;22.0;19.0;0.019730942;0.017431192;0
1;AIN;01011;APREMONT;0.0;0.0;0.0;0.0;0
1;AIN;01012;ARANC;5.0;0.0;0.015337423;0.0;0
1;AIN;01013;ARANDAS;0.0;0.0;0.0;0.0;0
1;AIN;01014;ARBENT;70.0;84.0;0.02079002;0.025247971;0
1;AIN;01015;ARBOYS-EN-BUGEY;5.0;8.0;0.0077639753;0.01221374;0
1;AIN;01016;ARBIGNY;5.0;14.0;0.010799136;0.02991453;0
1;AIN;01017;ARGIS;12.0;6.0;0.027149322;0.012793177;0
1;AIN;01021;ARS-SUR-FORMANS;18.0;21.0;0.012784091;0.014103425;0
1;AIN;01022;ARTEMARE;29.0;27.0;0.023443816;0.021243116;0
1;AIN;01023;ASNIÈRES-SUR-SAÔNE;0.0;0.0;0.0;0.0;0
1;AIN;01024;ATTIGNAT;36.0;36.0;0.01121146;0.011260557;0
1;AIN;01025;BÂGÉ-DOMMARTIN;55.0;65.0;0.01344086;0.01599016;0
1;AIN;01026;BÂGÉ-LE-CHÂTEL;27.0;18.0;0.029252438;0.017821781;0
1;AIN;01027;BALAN;18.0;18.0;0.0067064082;0.0075031263;0
1;AIN;01028;BANEINS;0.0;0.0;0.0;0.0;0
1;AIN;01029;BEAUPONT;0.0;31.0;0.0;0.045058139;0
1;AIN;01030;BEAUREGARD;29.0;42.0;0.033487298;0.052109182;0
1;AIN;01031;BELLIGNAT;172.0;174.0;0.047461368;0.047671232;0
1;AIN;01032;BÉLIGNEUX;63.0;70.0;0.01890189;0.020539906;0
1;AIN;01033;VALSERHÔNE;603.0;677.0;0.0367168;0.041040253;0
1;AIN;01034;BELLEY;373.0;400.0;0.040975504;0.043187216;0
1;AIN;01035;BELLEYDOUX;0.0;0.0;0.0;0.0;0
1;AIN;01036;VALROMEY-SUR-SÉRAN;20.0;16.0;0.01525553;0.011808118;0
1;AIN;01037;BÉNONCES;0.0;6.0;0.0;0.018867925;0
1;AIN;01038;BÉNY;6.0;0.0;0.0079365084;0.0;0
1;AIN;01039;BÉON;15.0;8.0;0.033039648;0.01847575;0
1;AIN;01040;BÉRÉZIAT;0.0;0.0;0.0;0.0;0
1;AIN;01041;BETTANT;8.0;26.0;0.010695187;0.034759358;0
1;AIN;01042;BEY;0.0;5.0;0.0;0.016611295;0
1;AIN;01043;BEYNOST;38.0;44.0;0.0082375892;0.0090927882;0
1;AIN;01044;BILLIAT;14.0;17.0;0.022508038;0.026275115;0
1;AIN;01045;BIRIEUX;0.0;0.0;0.0;0.0;0
1;AIN;01046;BIZIAT;6.0;0.0;0.006849315;0.0;0
1;AIN;01047;BLYES;0.0;12.0;0.0;0.0094786733;0
