dep;nomdep;codecommune;nomcommune;TER_nexploit;TER_surf;TER_nexploit68;TER_surf68;DBL_bug
06;ALPES-MARITIMES;06086;MOULINET;23.0;23.0;0.0;0.0;0
29;FINISTERE;29111;LANHOUARNEAU;151.0;151.0;126.0;1599.0;0
61;ORNE;61421;SAINT-MARS-D'EGRENNE;190.0;190.0;168.0;2322.0;0
73;SAVOIE;73099;DETRIER;7.0;7.0;0.0;0.0;2
72;SARTHE;72008;ARNAGE;43.0;43.0;37.0;366.5;0
08;ARDENNES;08448;THILAY;13.0;13.0;5.0;47.5;0
67;BAS-RHIN;67054;BOLSENHEIM;23.0;23.0;23.0;322.5;0
19;CORREZE;19260;SIONIAC;74.0;74.0;0.0;0.0;2
93;SEINE-SAINT-DENIS;93027;COURNEUVE;9.0;9.0;6.0;27.5;0
09;ARIEGE;09306;TARASCON-SUR-ARIEGE;11.0;11.0;9.0;55.0;0
07;ARDECHE;07217;SAINT-BARTHELEMY-LE-PLAIN;78.0;78.0;0.0;0.0;2
73;SAVOIE;73049;BONVILLARET;37.0;37.0;0.0;0.0;2
2B;HAUTE-CORSE;2B243;POLVEROSO;0.0;0.0;0.0;0.0;2
63;PUY-DE-DOME;63157;FAYET-LE-CHATEAU;58.0;58.0;0.0;0.0;2
35;ILLE-ET-VILAINE;35056;CHAPELLE-AUX-FILTZMEENS;52.0;52.0;46.0;575.5;0
35;ILLE-ET-VILAINE;35143;LANDUJAN;144.0;144.0;132.0;1372.0;0
01;AIN;01311;PREMILLIEU;18.0;18.0;0.0;0.0;2
38;ISERE;38181;GONCELIN;84.0;84.0;0.0;0.0;2
22;COTES-D'ARMOR;22090;KERMARIA-SULARD;67.0;67.0;52.0;568.5;0
2A;CORSE-DU-SUD;2A131;GUAGNO;80.0;80.0;0.0;0.0;2
63;PUY-DE-DOME;63267;PALLADUC;49.0;49.0;0.0;0.0;2
22;COTES-D'ARMOR;22305;SAINT-JOUAN-DE-L'ISLE;46.0;46.0;50.0;659.0;0
95;VAL-D'OISE;95555;SAINT-GRATIEN;11.0;11.0;6.0;24.5;0
47;LOT-ET-GARONNE;47027;BIAS;120.0;120.0;115.0;968.5;0
19;CORREZE;19031;BRIVE-LA-GAILLARDE;199.0;199.0;0.0;0.0;2
07;ARDECHE;07039;BOZAS;81.0;81.0;0.0;0.0;2
13;BOUCHES-DU-RHONE;13070;PENNE-SUR-HUVEAUNE;10.0;10.0;9.0;63.0;0
64;PYRENEES-ATLANTIQUES;64413;NARCASTET;24.0;24.0;20.0;286.0;0
2B;HAUTE-CORSE;2B039;BISINCHI;20.0;20.0;0.0;0.0;2
06;ALPES-MARITIMES;06162;BRIGUE;45.0;45.0;2.0;6.0;0
64;PYRENEES-ATLANTIQUES;64322;LASSE;58.0;58.0;47.0;387.5;0
65;HAUTES-PYRENEES;65406;SARNIGUET;28.0;28.0;18.0;176.5;0
19;CORREZE;19099;LAGLEYGEOLLE;63.0;63.0;0.0;0.0;2
11;AUDE;11302;PUILAURENS;1.0;1.0;5.0;140.0;0
63;PUY-DE-DOME;63137;DORANGES;107.0;107.0;0.0;0.0;2
40;LANDES;40089;DOAZIT;139.0;139.0;114.0;1589.5;0
2B;HAUTE-CORSE;2B277;SERRA-DI-FIUMORBO;0.0;0.0;0.0;0.0;2
88;VOSGES;88196;GERARDMER;185.0;185.0;127.0;558.0;0
65;HAUTES-PYRENEES;65239;LABASTIDE;43.0;43.0;40.0;362.5;0
59;NORD;59027;AUBRY-DU-HAINAUT;20.0;20.0;21.0;434.5;0
65;HAUTES-PYRENEES;65231;IZAUX;38.0;38.0;32.0;231.0;0
67;BAS-RHIN;67061;BOUXWILLER;27.0;27.0;20.0;284.0;0
46;LOT;46137;LABASTIDE-MARNHAC;62.0;62.0;67.0;1026.5;0
73;SAVOIE;73137;JACOB-BELLECOMBETTE;22.0;22.0;0.0;0.0;2
74;HAUTE-SAVOIE;74276;TANINGES;176.0;176.0;0.0;0.0;2
06;ALPES-MARITIMES;06120;SAINT-ETIENNE-DE-TINEE;130.0;130.0;79.0;54.5;0
29;FINISTERE;29068;GUICLAN;291.0;291.0;257.0;3229.0;0
2A;CORSE-DU-SUD;2A099;COZZANO;20.0;20.0;0.0;0.0;2
65;HAUTES-PYRENEES;65383;SADOURNIN;53.0;53.0;43.0;971.0;0
08;ARDENNES;08222;HAYBES;3.0;3.0;2.0;35.0;0
39;JURA;39250;GERUGE;17.0;17.0;16.0;386.0;0
05;HAUTES-ALPES;05038;CHATEAU-VILLE-VIEILLE;83.0;83.0;17.0;101.5;0
92;HAUTS-DE-SEINE;92049;MONTROUGE;2.0;2.0;1.0;35.0;0
24;DORDOGNE;24082;CARSAC-AILLAC;87.0;87.0;82.0;556.5;0
14;CALVADOS;14513;PONT-FARCY;56.0;56.0;53.0;704.5;0
73;SAVOIE;73120;FRETERIVE;68.0;68.0;0.0;0.0;2
65;HAUTES-PYRENEES;65362;PIERREFITTE-NESTALAS;0.0;0.0;9.0;91.5;0
2B;HAUTE-CORSE;2B319;TALASANI;40.0;40.0;0.0;0.0;2
65;HAUTES-PYRENEES;65257;LANNE;44.0;44.0;27.0;234.5;0
22;COTES-D'ARMOR;22189;PLESIDY;155.0;155.0;134.0;1306.0;0
63;PUY-DE-DOME;63056;BROUSSE;107.0;107.0;0.0;0.0;2
91;ESSONNE;91687;VIRY-CHATILLON;6.0;6.0;2.0;3.5;0
35;ILLE-ET-VILAINE;35230;POILLEY;106.0;106.0;84.0;859.0;0
22;COTES-D'ARMOR;22343;TREBEURDEN;70.0;70.0;46.0;343.0;0
06;ALPES-MARITIMES;06067;GORBIO;28.0;28.0;28.0;71.5;0
22;COTES-D'ARMOR;22271;SAINT-ADRIEN;76.0;76.0;73.0;934.5;0
31;HAUTE-GARONNE;31241;IZAUT-DE-L'HOTEL;35.0;35.0;25.0;277.5;0
65;HAUTES-PYRENEES;65189;GAYAN;27.0;27.0;24.0;204.0;0
57;MOSELLE;57639;SCHORBACH;50.0;50.0;27.0;166.0;0
29;FINISTERE;29072;GUILVINEC;20.0;20.0;11.0;46.5;0
2A;CORSE-DU-SUD;2A090;COGGIA;60.0;60.0;0.0;0.0;2
34;HERAULT;34016;AUMELAS;44.0;44.0;31.0;220.0;0
22;COTES-D'ARMOR;22363;TRELEVERN;59.0;59.0;50.0;377.5;0
2B;HAUTE-CORSE;2B077;CASTELLARE-DI-CASINCA;20.0;20.0;0.0;0.0;2
35;ILLE-ET-VILAINE;35190;MONTHAULT;88.0;88.0;79.0;625.0;0
35;ILLE-ET-VILAINE;35027;BOISGERVILLY;139.0;139.0;120.0;2090.5;0
65;HAUTES-PYRENEES;65321;MONTIGNAC;17.0;17.0;14.0;87.0;0
2A;CORSE-DU-SUD;2A186;OLIVESE;0.0;0.0;0.0;0.0;2
40;LANDES;40276;SAINT-MICHEL-ESCALUS;33.0;33.0;32.0;103.5;0
74;HAUTE-SAVOIE;74184;MINZIER;48.0;48.0;0.0;0.0;2
05;HAUTES-ALPES;05079;MONETIER-LES-BAINS;341.0;341.0;54.0;290.0;0
73;SAVOIE;73131;HAUTECOUR;33.0;33.0;0.0;0.0;2
39;JURA;39088;CESANCEY;38.0;38.0;28.0;264.5;0
22;COTES-D'ARMOR;22332;SAINT-TRIMOEL;55.0;55.0;55.0;668.5;0
07;ARDECHE;07091;FONS;11.0;11.0;0.0;0.0;2
65;HAUTES-PYRENEES;65112;BUN;24.0;24.0;24.0;87.0;0
11;AUDE;11066;CAMURAC;26.0;26.0;26.0;184.0;0
05;HAUTES-ALPES;05064;CHAPELLE-EN-VALGAUDEMAR;57.0;57.0;24.0;290.0;0
01;AIN;01012;ARANC;77.0;77.0;0.0;0.0;2
65;HAUTES-PYRENEES;65291;LUGAGNAN;7.0;7.0;12.0;39.5;0
22;COTES-D'ARMOR;22335;SENVEN-LEHART;77.0;77.0;61.0;771.0;0
42;LOIRE;42191;ROISEY;84.0;84.0;0.0;0.0;2
31;HAUTE-GARONNE;31316;MARIGNAC;11.0;11.0;6.0;22.5;0
2B;HAUTE-CORSE;2B248;PRATO-DI-GIOVELLINA;0.0;0.0;0.0;0.0;2
56;MORBIHAN;56102;LANOUEE;295.0;295.0;225.0;3559.5;0
07;ARDECHE;07063;CHEMINAS;58.0;58.0;0.0;0.0;2
67;BAS-RHIN;67544;WISSEMBOURG;15.0;15.0;5.0;61.0;0
