key;dep;nomdep;codecommune;nomcommune
01001;01;AIN;01001;L'ABERGEMENT-CLÉMENCIAT
01002;01;AIN;01002;L'ABERGEMENT-DE-VAREY
01004;01;AIN;01004;AMBÉRIEU-EN-BUGEY
01005;01;AIN;01005;AMBÉRIEUX-EN-DOMBES
01006;01;AIN;01006;AMBLÉON
01007;01;AIN;01007;AMBRONAY
01008;01;AIN;01008;AMBUTRIX
01009;01;AIN;01009;ANDERT-ET-CONDON
01010;01;AIN;01010;ANGLEFORT
01011;01;AIN;01011;APREMONT
01012;01;AIN;01012;ARANC
01013;01;AIN;01013;ARANDAS
01014;01;AIN;01014;ARBENT
01015;01;AIN;01015;ARBOYS EN BUGEY
01016;01;AIN;01016;ARBIGNY
01017;01;AIN;01017;ARGIS
01021;01;AIN;01021;ARS-SUR-FORMANS
01022;01;AIN;01022;ARTEMARE
01023;01;AIN;01023;ASNIÈRES-SUR-SAÔNE
01024;01;AIN;01024;ATTIGNAT
01025;01;AIN;01025;BÂGÉ-DOMMARTIN
01026;01;AIN;01026;BÂGÉ-LE-CHÂTEL
01027;01;AIN;01027;BALAN
01028;01;AIN;01028;BANEINS
01029;01;AIN;01029;BEAUPONT
01030;01;AIN;01030;BEAUREGARD
01031;01;AIN;01031;BELLIGNAT
01032;01;AIN;01032;BÉLIGNEUX
01033;01;AIN;01033;VALSERHÔNE
01034;01;AIN;01034;BELLEY
01035;01;AIN;01035;BELLEYDOUX
01036;01;AIN;01036;VALROMEY-SUR-SERAN
01037;01;AIN;01037;BÉNONCES
01038;01;AIN;01038;BÉNY
01039;01;AIN;01039;BÉON
01040;01;AIN;01040;BÉRÉZIAT
01041;01;AIN;01041;BETTANT
01042;01;AIN;01042;BEY
01043;01;AIN;01043;BEYNOST
01044;01;AIN;01044;BILLIAT
01045;01;AIN;01045;BIRIEUX
01046;01;AIN;01046;BIZIAT
01047;01;AIN;01047;BLYES
01049;01;AIN;01049;LA BOISSE
01050;01;AIN;01050;BOISSEY
01051;01;AIN;01051;BOLOZON
01052;01;AIN;01052;BOULIGNEUX
01053;01;AIN;01053;BOURG-EN-BRESSE
01054;01;AIN;01054;BOURG-SAINT-CHRISTOPHE
01056;01;AIN;01056;BOYEUX-SAINT-JÉRÔME
01057;01;AIN;01057;BOZ
01058;01;AIN;01058;BRÉGNIER-CORDON
01060;01;AIN;01060;BRÉNOD
01061;01;AIN;01061;BRENS
01062;01;AIN;01062;BRESSOLLES
01063;01;AIN;01063;BRION
01064;01;AIN;01064;BRIORD
01065;01;AIN;01065;BUELLAS
01066;01;AIN;01066;LA BURBANCHE
01067;01;AIN;01067;CEIGNES
01068;01;AIN;01068;CERDON
01069;01;AIN;01069;CERTINES
01071;01;AIN;01071;CESSY
01072;01;AIN;01072;CEYZÉRIAT
01073;01;AIN;01073;CEYZÉRIEU
01074;01;AIN;01074;CHALAMONT
01075;01;AIN;01075;CHALEINS
01076;01;AIN;01076;CHALEY
01077;01;AIN;01077;CHALLES-LA-MONTAGNE
01078;01;AIN;01078;CHALLEX
01079;01;AIN;01079;CHAMPAGNE-EN-VALROMEY
01080;01;AIN;01080;CHAMPDOR-CORCELLES
01081;01;AIN;01081;CHAMPFROMIER
01082;01;AIN;01082;CHANAY
01083;01;AIN;01083;CHANEINS
01084;01;AIN;01084;CHANOZ-CHÂTENAY
01085;01;AIN;01085;LA CHAPELLE-DU-CHÂTELARD
01087;01;AIN;01087;CHARIX
01088;01;AIN;01088;CHARNOZ-SUR-AIN
01089;01;AIN;01089;CHÂTEAU-GAILLARD
01090;01;AIN;01090;CHÂTENAY
01092;01;AIN;01092;CHÂTILLON-LA-PALUD
01093;01;AIN;01093;CHÂTILLON-SUR-CHALARONNE
01094;01;AIN;01094;CHAVANNES-SUR-REYSSOUZE
01095;01;AIN;01095;NIVIGNE ET SURAN
01096;01;AIN;01096;CHAVEYRIAT
01098;01;AIN;01098;CHAZEY-BONS
01099;01;AIN;01099;CHAZEY-SUR-AIN
01100;01;AIN;01100;CHEIGNIEU-LA-BALME
01101;01;AIN;01101;CHEVILLARD
01102;01;AIN;01102;CHEVROUX
01103;01;AIN;01103;CHEVRY
01104;01;AIN;01104;CHÉZERY-FORENS
01105;01;AIN;01105;CIVRIEUX
01106;01;AIN;01106;CIZE
01107;01;AIN;01107;CLEYZIEU
01108;01;AIN;01108;COLIGNY
01109;01;AIN;01109;COLLONGES
01110;01;AIN;01110;COLOMIEU
01111;01;AIN;01111;CONAND
01112;01;AIN;01112;CONDAMINE
01113;01;AIN;01113;CONDEISSIAT
01114;01;AIN;01114;CONFORT
01115;01;AIN;01115;CONFRANÇON
01116;01;AIN;01116;CONTREVOZ
