category,filename,comment,size,depart,district,commune,canton,yyyy,path
Taille_agglo_commune_csv,codescommunes1999,codes,0,0,0,1,0,1999,../../ProjetCommun/DATA_SOURCES/HCP/Taille_agglo_commune_csv/Taille_agglo_commune_csv/codescommunes1999.csv
Taille_agglo_commune_csv,popcommunes,pop,0,0,0,1,0,0,../../ProjetCommun/DATA_SOURCES/HCP/Taille_agglo_commune_csv/Taille_agglo_commune_csv/popcommunes.csv
Taille_agglo_commune_csv,codescantons1999,codes,0,0,0,0,1,1999,../../ProjetCommun/DATA_SOURCES/HCP/Taille_agglo_commune_csv/Taille_agglo_commune_csv/codescantons1999.csv
Taille_agglo_commune_csv,codescommunesnomsmultiples,codesnomsmultiples,0,0,0,1,0,0,../../ProjetCommun/DATA_SOURCES/HCP/Taille_agglo_commune_csv/Taille_agglo_commune_csv/codescommunesnomsmultiples.csv
Taille_agglo_commune_csv,popcommuneselecteurs,popelecteurs,0,0,0,1,0,0,../../ProjetCommun/DATA_SOURCES/HCP/Taille_agglo_commune_csv/Taille_agglo_commune_csv/popcommuneselecteurs.csv
Taille_agglo_commune_csv,codescommunes2014,codes,0,0,0,1,0,2014,../../ProjetCommun/DATA_SOURCES/HCP/Taille_agglo_commune_csv/Taille_agglo_commune_csv/codescommunes2014.csv
Taille_agglo_commune_csv,popdepanciens,popdepanciens,0,0,0,0,0,0,../../ProjetCommun/DATA_SOURCES/HCP/Taille_agglo_commune_csv/Taille_agglo_commune_csv/popdepanciens.csv
Taille_agglo_commune_csv,codescantons2014,codes,0,0,0,0,1,2014,../../ProjetCommun/DATA_SOURCES/HCP/Taille_agglo_commune_csv/Taille_agglo_commune_csv/codescantons2014.csv
Taille_agglo_commune_csv,popcommunesvbbm,popvbbm,0,0,0,1,0,0,../../ProjetCommun/DATA_SOURCES/HCP/Taille_agglo_commune_csv/Taille_agglo_commune_csv/popcommunesvbbm.csv
Taille_agglo_commune_csv,codesunitesurbaines2020,codesunitesurbaines,0,0,0,0,0,2020,../../ProjetCommun/DATA_SOURCES/HCP/Taille_agglo_commune_csv/Taille_agglo_commune_csv/codesunitesurbaines2020.csv
Taille_agglo_commune_csv,codesdistricts1791,codess,0,1,0,0,0,1791,../../ProjetCommun/DATA_SOURCES/HCP/Taille_agglo_commune_csv/Taille_agglo_commune_csv/codesdistricts1791.csv
