category,filename,comment,size,depart,district,commune,canton,yyyy,path,codecommune
Taille_agglo_commune_csv,codescommunes1999,codes,0,0,0,1,0,1999,../../ProjetCommun/DATA_SOURCES/HCP/Taille_agglo_commune_csv/Taille_agglo_commune_csv/codescommunes1999.csv,1
Taille_agglo_commune_csv,popcommunes,pop,0,0,0,1,0,0,../../ProjetCommun/DATA_SOURCES/HCP/Taille_agglo_commune_csv/Taille_agglo_commune_csv/popcommunes.csv,1
Taille_agglo_commune_csv,codescommunesnomsmultiples,codesnomsmultiples,0,0,0,1,0,0,../../ProjetCommun/DATA_SOURCES/HCP/Taille_agglo_commune_csv/Taille_agglo_commune_csv/codescommunesnomsmultiples.csv,0
Taille_agglo_commune_csv,popcommuneselecteurs,popelecteurs,0,0,0,1,0,0,../../ProjetCommun/DATA_SOURCES/HCP/Taille_agglo_commune_csv/Taille_agglo_commune_csv/popcommuneselecteurs.csv,1
Taille_agglo_commune_csv,codescommunes2014,codes,0,0,0,1,0,2014,../../ProjetCommun/DATA_SOURCES/HCP/Taille_agglo_commune_csv/Taille_agglo_commune_csv/codescommunes2014.csv,1
Taille_agglo_commune_csv,popdepanciens,popdepanciens,0,0,0,0,0,0,../../ProjetCommun/DATA_SOURCES/HCP/Taille_agglo_commune_csv/Taille_agglo_commune_csv/popdepanciens.csv,0
Taille_agglo_commune_csv,popcommunesvbbm,popvbbm,0,0,0,1,0,0,../../ProjetCommun/DATA_SOURCES/HCP/Taille_agglo_commune_csv/Taille_agglo_commune_csv/popcommunesvbbm.csv,1
Taille_agglo_commune_csv,codesunitesurbaines2020,codesunitesurbaines,0,0,0,0,0,2020,../../ProjetCommun/DATA_SOURCES/HCP/Taille_agglo_commune_csv/Taille_agglo_commune_csv/codesunitesurbaines2020.csv,1
Taille_agglo_commune_csv,codescommunescantons1999,codes,0,0,0,1,1,1999,../../ProjetCommun/DATA_SOURCES/HCP/Taille_agglo_commune_csv/Taille_agglo_commune_csv/codescommunescantons1999.csv,1
Taille_agglo_commune_csv,codescommunesanciensdepartements,codesanciens,0,1,0,1,0,0,../../ProjetCommun/DATA_SOURCES/HCP/Taille_agglo_commune_csv/Taille_agglo_commune_csv/codescommunesanciensdepartements.csv,1
Taille_agglo_commune_csv,codescommunescantons2014,codes,0,0,0,1,1,2014,../../ProjetCommun/DATA_SOURCES/HCP/Taille_agglo_commune_csv/Taille_agglo_commune_csv/codescommunescantons2014.csv,1
Enseignement_prive_csv,publicprivecommunes1894,publicprive,0,0,0,1,0,1894,../../ProjetCommun/DATA_SOURCES/HCP/Enseignement_prive_csv/Enseignement_prive_csv/publicprivecommunes1894.csv,1
