;NUP_estim_indice;NUP_import;ECO_estim_indice;ECO_import;ENS_estim_indice;ENS_import;LR_UDI_estim_indice;LR_UDI_import;EXTREMD_estim_indice;EXTREMD_import;CENTRE_estim_indice;CENTRE_import;OTR_estim_indice;OTR_import
0;127;0.15642436985861985;127;0.07867806013097967;127;0.14077787203997116;126;0.20532190112853813;126;0.17910248123304534;126;0.1860266898973255;127;0.6331284434918503
1;126;0.08858257926279738;212;0.07865968458116614;126;0.0726268001087573;127;0.19022458279508137;127;0.12034025191913394;127;0.17755031250300354;126;0.09372574885146102
2;35;0.024589918954330003;145;0.07759422041537004;141;0.0510387187009559;212;0.055484109212488274;241;0.052528659704432455;213;0.09601901440200175;120;0.026844968121163038
3;215;0.018320543763740163;126;0.06459163341398835;119;0.047839149941025554;213;0.016757765518771894;212;0.03582772814269477;212;0.03065865964268464;212;0.012496455457715779
4;257;0.015795330921882275;213;0.02063218400816214;213;0.012924079546319325;251;0.015650861081577087;240;0.03378682044764647;120;0.017272106567739608;137;0.007687989699403907
5;213;0.013763041580922708;137;0.01177352712126945;229;0.011947369183393624;214;0.01180958943062409;230;0.02258652916322927;143;0.013947540499396775;143;0.0063352621277293995
6;7;0.012358018161998783;143;0.0115822866813627;212;0.009920451183234895;221;0.010307416065815422;251;0.014185898357193584;251;0.01366115092893876;132;0.005437142968137835
7;230;0.011326476177933578;214;0.010797199724105346;120;0.009857811084678026;250;0.009433960523062423;143;0.010804110493342874;214;0.009319041293803775;221;0.00472986665424629
8;212;0.011066187857045091;249;0.008647578336522282;140;0.009783991680197156;120;0.008870801691675199;141;0.009513669393456957;250;0.009138164870156566;118;0.0037782299493643087
9;233;0.010545669489254268;132;0.008275249933855396;250;0.009520288443241516;220;0.008142568819324299;242;0.008575986894729205;132;0.0071293261157600795;213;0.0037575590536597096
10;31;0.009761339602310442;248;0.008181891591248209;230;0.009513906893899533;113;0.0057153834809193105;229;0.00838717011391832;137;0.006627189752914234;223;0.003213852788059668
11;234;0.009160129653332637;215;0.00789588319934637;143;0.008342629637345549;257;0.0054760140373713625;215;0.008238459965746845;241;0.006306384066496886;227;0.003108700282662971
12;214;0.008810992197119987;41;0.007843303829096098;139;0.007620874627735955;143;0.005116848001999712;120;0.007977092036378171;121;0.005390364496060059;245;0.0026938028484751724
13;120;0.008642291968597018;107;0.007631408020377353;251;0.007350385908230259;121;0.005014186991492769;213;0.00662991297942673;149;0.00534485337705748;121;0.0026774747626123
